ChagosSP,ChagosFG,GBRSP,GBRFG,MaldivesSP,MaldivesFG,SeychellesSP,SeychellesFG
Plectroglyphidodon phoenixensis,Herbivore Grazer,Pomacentrus amboinensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Pomacentrus amboinensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Pomacentrus amboinensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Siganus corallinus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus chameleon,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus flavipectoralis,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Stegastes fasciolatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Plectroglyphidodon phoenixensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus amboinensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Siganus vulpinus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Siganus vulpinus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus oviceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Siganus spinus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Chlorurus microrhinos,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Stegastes fasciolatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus indicus,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Naso unicornis,Herbivore Browser,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus binotatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus niger,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus psittacus,Herbivore Scraper,,,Pomacentrus trilineatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus lineatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus globiceps,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus lineatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Naso tuberosus,Herbivore Browser,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Naso tuberosus,Herbivore Browser,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes fasciolatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Pomacentrus bankanensis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Stegastes apicalis,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Acanthurus triostegus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus schlegeli,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Chlorurus sordidus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Ctenochaetus striatus,Herbivore Grazer,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
Pomacentrus nagasakiensis,Herbivore Grazer,Scarus rivulatus,Herbivore Scraper,,,Plectroglyphidodon lacrymatus,Herbivore Grazer
